id,created_at,text
832950630524284928,2017-02-18 13:51:20,"Will be having many meetings this weekend at The Southern White House. Big 5:00 P.M. speech in Melbourne, Florida. A lot to talk about!"
832945739282128897,2017-02-18 13:31:54,Don't believe the main stream (fake news) media.The White House is running VERY WELL. I inherited a MESS and am in the process of fixing it.
832742167080816640,2017-02-18 00:02:58,Looking forward to the Florida rally tomorrow. Big crowd expected!
832730329412726784,2017-02-17 23:15:56,"""One of the most effective press conferences I've ever seen!"" says Rush Limbaugh. Many agree.Yet FAKE MEDIA  calls it differently! Dishonest"
832708295664087040,2017-02-17 21:48:23,"The FAKE NEWS media (failing @nytimes, @NBCNews, @ABC, @CBS, @CNN) is not my enemy, it is the enemy of the American People!"
832704294960889856,2017-02-17 21:32:29,"The FAKE NEWS media (failing @nytimes, @CNN, @NBCNews and many more)    is not my enemy, it is the enemy of the American people. SICK!"
832555989081714689,2017-02-17 11:43:10,Thank you for all of the nice statements on the Press Conference yesterday. Rush Limbaugh said one of greatest ever. Fake media not happy!
832554774448971777,2017-02-17 11:38:21,"Going to Charleston, South Carolina, in order to spend time with Boeing and talk jobs! Look forward to it."
832533431871496192,2017-02-17 10:13:32,"Despite the long delays by the Democrats in finally approving Dr. Tom Price, the repeal and replacement of ObamaCare is moving fast!"
832238072100188162,2017-02-16 14:39:53,"The Democrats had to come up with a story as to why they lost the election, and so badly (306), so they made up a story - RUSSIA. Fake news!"
832230759683518465,2017-02-16 14:10:49,"FAKE NEWS media, which makes up stories and ""sources,"" is far more effective than the discredited Democrats - but they are fading fast!"
832198589564801025,2017-02-16 12:02:59,The spotlight has finally been put on the low-life leakers! They will be caught!
832197516808560640,2017-02-16 11:58:44,"Leaking, and even illegal classified leaking, has been a big problem in Washington for years. Failing @nytimes (and others) must apologize!"
832191486859104256,2017-02-16 11:34:46,Stock market hits new high with longest winning streak in decades. Great level of confidence and optimism - even before tax plan rollout!
831853863649079296,2017-02-15 13:13:10,"The real scandal here is that classified information is illegally given out by ""intelligence"" like candy. Very un-American!"
831846102806691841,2017-02-15 12:42:20,Crimea was TAKEN by Russia during the Obama Administration. Was Obama too soft on Russia?
831837515703255040,2017-02-15 12:08:13,This Russian connection non-sense is merely an attempt to cover-up the many mistakes made in Hillary Clinton's losing campaign.
831510533765529600,2017-02-14 14:28:54,The real story here is why are there so many illegal leaks coming out of Washington? Will these leaks be happening as I deal on N.Korea etc?
830904084853039104,2017-02-12 22:19:05,Just leaving Florida. Big crowds of enthusiastic supporters lining the road that the FAKE NEWS media refuses to mention. Very dishonest!
830769248511336449,2017-02-12 13:23:18,I know Mark Cuban well. He backed me big-time but I wasn't interested in taking all of his calls.He's not smart enough to run for president!
830764597619601408,2017-02-12 13:04:49,"After two days of very productive talks, Prime Minister Abe is heading back to Japan. L"
830751876882825217,2017-02-12 12:14:16,"While on FAKE NEWS @CNN, Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties!"
830741933832159232,2017-02-12 11:34:46,"The crackdown on illegal criminals is merely the keeping of my campaign promise. Gang members, drug dealers &amp;amp; others are being removed!"
830558067171405825,2017-02-11 23:24:08,"A working dinner tonight with Prime Minister Abe of Japan, and his representatives, at the Winter White House (Mar-a-Lago). Very good talks!"
830553971873939461,2017-02-11 23:07:52,"Playef golf today with Prime Minister Abe of Japan and @TheBig_Easy, Ernie Els, and had a great time. Japan is very well represented!"
830552080863621124,2017-02-11 23:00:21,"I am so proud of my daughter Ivanka. To be abused and treated so badly by the media, and to still hold her head so high, is truly wonderful!"
830409524196556800,2017-02-11 13:33:53,"Melania and I are hosting Japanese Prime Minister Shinzo Abe and Mrs. Abe at Mar-a-Lago in Palm Beach, Fla. They are a wonderful couple!"
830407174178353154,2017-02-11 13:24:33,"...design or negotiations yet. When I do, just like with the F-35 FighterJet or the Air Force One Program, price will come WAY DOWN!"
830405707832913921,2017-02-11 13:18:43,"I am reading that the great border WALL will cost more than the government originally thought, but I have not gotten involved in the....."
830389132035768320,2017-02-11 12:12:51,"Our legal system is broken! ""77% of refugees allowed into U.S. since travel reprieve hail from seven suspect countries."" (WT)  SO DANGEROUS!"
830047627827884032,2017-02-10 13:35:50,"The failing @nytimes does major FAKE NEWS China story saying ""Mr.Xi has not spoken to Mr. Trump since Nov.14."" We spoke at length yesterday!"
830042500689690624,2017-02-10 13:15:28,"LAWFARE: ""Remarkably, in the entire opinion, the panel did not bother even to cite this (the) statute."" A disgraceful decision!"
829836233169915904,2017-02-09 23:35:50,"SEE YOU IN COURT, THE SECURITY OF OUR NATION IS AT STAKE!"
829689437693042688,2017-02-09 13:52:31,"..Ryan died on a winning mission ( according to General Mattis), not a ""failure."" Time for the U.S. to get smart and start winning again!"
829684273590501376,2017-02-09 13:32:00,"...long he doesn't know how to win anymore, just look at the mess our country is in - bogged down in conflict all over the place. Our hero.."
829682796084023296,2017-02-09 13:26:08,Sen. McCain should not be talking about the success or failure of a mission to the media. Only emboldens the enemy! He's been losing so....
829681035831025664,2017-02-09 13:19:08,"Chris Cuomo, in his interview with Sen. Blumenthal, never asked him about his long-term lie about his brave ""service"" in Vietnam. FAKE NEWS!"
829660614222036992,2017-02-09 11:57:59,"Sen.Richard Blumenthal, who never fought in Vietnam when he said for years he had (major lie),now misrepresents what Judge Gorsuch told him?"
829384588795531267,2017-02-08 17:41:09,"Big increase in traffic into our country from certain areas, while our people are far more vulnerable, as we wait for what should be EASY D!"
829315037655400451,2017-02-08 13:04:47,"I will be speaking at 9:00 A.M. today to Police Chiefs and Sheriffs and will be discussing the horrible, dangerous and wrong decision......."
829299567933976576,2017-02-08 12:03:19,"If the U.S. does not win this case as it so obviously should, we can never have the security and safety to which we are entitled. Politics!"
829133646305058816,2017-02-08 01:04:00,"It is a disgrace that my full Cabinet is still not in place, the longest such delay in the history of our country. Obstruction by Democrats!"
828937358703730688,2017-02-07 12:04:01,"I don't know Putin, have no deals in Russia, and the haters are going crazy - yet Obama can make a deal with Iran, #1in terror, no problem!"
828797802901864448,2017-02-07 02:49:29,"The threat from radical Islamic terrorism is very real, just look at what is happening in Europe and the Middle-East. Courts must act fast!"
